layer,prompt_token_index,target_desc,pathway_mean,pathway_max,top_token_index,top_row,top_col,cosine_attn_regiongrad,pearson_attn_regiongrad,npy_path,png_path
3,12,mean_mask_logit,2.8755019698678552e-08,8.417301842200686e-07,4304,59,56,0.400033277784539,-0.3038039946262358,outputs/dog_token_to_mask_pathway/token_to_mask_pathway/layer_3_prompt_token_12_to_mean_mask_logit.npy,outputs/dog_token_to_mask_pathway/token_to_mask_pathway/layer_3_prompt_token_12_to_mean_mask_logit.png
4,12,mean_mask_logit,2.5022984573297435e-08,8.374519779863476e-07,4304,59,56,0.43205290644555633,0.029426906529998895,outputs/dog_token_to_mask_pathway/token_to_mask_pathway/layer_4_prompt_token_12_to_mean_mask_logit.npy,outputs/dog_token_to_mask_pathway/token_to_mask_pathway/layer_4_prompt_token_12_to_mean_mask_logit.png
5,12,mean_mask_logit,1.788990644513433e-08,7.583446972603269e-07,4304,59,56,0.42775998375592295,0.04182882753795651,outputs/dog_token_to_mask_pathway/token_to_mask_pathway/layer_5_prompt_token_12_to_mean_mask_logit.npy,outputs/dog_token_to_mask_pathway/token_to_mask_pathway/layer_5_prompt_token_12_to_mean_mask_logit.png
5,7,mean_mask_logit,1.6939349478661825e-08,7.466150577783992e-07,4304,59,56,0.4187153607203793,-0.03375882273138998,outputs/dog_token_to_mask_pathway/token_to_mask_pathway/layer_5_prompt_token_7_to_mean_mask_logit.npy,outputs/dog_token_to_mask_pathway/token_to_mask_pathway/layer_5_prompt_token_7_to_mean_mask_logit.png
3,4,mean_mask_logit,2.3083909894694443e-08,6.856585628156608e-07,3926,54,38,0.437163880586464,0.017905767601166266,outputs/dog_token_to_mask_pathway/token_to_mask_pathway/layer_3_prompt_token_4_to_mean_mask_logit.npy,outputs/dog_token_to_mask_pathway/token_to_mask_pathway/layer_3_prompt_token_4_to_mean_mask_logit.png
3,5,mean_mask_logit,2.1759998247716794e-08,6.31919988336449e-07,4304,59,56,0.40513175721548195,-0.2376260092086635,outputs/dog_token_to_mask_pathway/token_to_mask_pathway/layer_3_prompt_token_5_to_mean_mask_logit.npy,outputs/dog_token_to_mask_pathway/token_to_mask_pathway/layer_3_prompt_token_5_to_mean_mask_logit.png
3,6,mean_mask_logit,2.201691629011293e-08,6.285441145337245e-07,1542,21,30,0.40743475226088516,-0.2439038416428111,outputs/dog_token_to_mask_pathway/token_to_mask_pathway/layer_3_prompt_token_6_to_mean_mask_logit.npy,outputs/dog_token_to_mask_pathway/token_to_mask_pathway/layer_3_prompt_token_6_to_mean_mask_logit.png
4,2,mean_mask_logit,2.1568489216861053e-08,6.266517402764293e-07,3926,54,38,0.43740575058413717,0.09081072850000003,outputs/dog_token_to_mask_pathway/token_to_mask_pathway/layer_4_prompt_token_2_to_mean_mask_logit.npy,outputs/dog_token_to_mask_pathway/token_to_mask_pathway/layer_4_prompt_token_2_to_mean_mask_logit.png
5,4,mean_mask_logit,1.3855776970217448e-08,5.971954237793398e-07,4304,59,56,0.39713672447736315,-0.17874624149121343,outputs/dog_token_to_mask_pathway/token_to_mask_pathway/layer_5_prompt_token_4_to_mean_mask_logit.npy,outputs/dog_token_to_mask_pathway/token_to_mask_pathway/layer_5_prompt_token_4_to_mean_mask_logit.png
5,6,mean_mask_logit,1.348329270456361e-08,5.614667770714732e-07,4304,59,56,0.39823870162066455,-0.16918533979481443,outputs/dog_token_to_mask_pathway/token_to_mask_pathway/layer_5_prompt_token_6_to_mean_mask_logit.npy,outputs/dog_token_to_mask_pathway/token_to_mask_pathway/layer_5_prompt_token_6_to_mean_mask_logit.png
5,5,mean_mask_logit,1.2881620214955092e-08,5.593848868556961e-07,4304,59,56,0.3798448379918348,-0.24925414547150615,outputs/dog_token_to_mask_pathway/token_to_mask_pathway/layer_5_prompt_token_5_to_mean_mask_logit.npy,outputs/dog_token_to_mask_pathway/token_to_mask_pathway/layer_5_prompt_token_5_to_mean_mask_logit.png
4,6,mean_mask_logit,1.4999850250774216e-08,5.593761329691915e-07,4304,59,56,0.3931311927217815,-0.16597723258285532,outputs/dog_token_to_mask_pathway/token_to_mask_pathway/layer_4_prompt_token_6_to_mean_mask_logit.npy,outputs/dog_token_to_mask_pathway/token_to_mask_pathway/layer_4_prompt_token_6_to_mean_mask_logit.png
3,2,mean_mask_logit,1.712172625900621e-08,5.433665251075581e-07,1542,21,30,0.39092883493956043,-0.08942929855091016,outputs/dog_token_to_mask_pathway/token_to_mask_pathway/layer_3_prompt_token_2_to_mean_mask_logit.npy,outputs/dog_token_to_mask_pathway/token_to_mask_pathway/layer_3_prompt_token_2_to_mean_mask_logit.png
4,5,mean_mask_logit,1.3450191183039806e-08,5.353547862796404e-07,4304,59,56,0.37951807971044826,-0.23608498381014312,outputs/dog_token_to_mask_pathway/token_to_mask_pathway/layer_4_prompt_token_5_to_mean_mask_logit.npy,outputs/dog_token_to_mask_pathway/token_to_mask_pathway/layer_4_prompt_token_5_to_mean_mask_logit.png
5,2,mean_mask_logit,1.1339036376512013e-08,4.2546585632408096e-07,4304,59,56,0.32549952695671874,-0.19221722999604093,outputs/dog_token_to_mask_pathway/token_to_mask_pathway/layer_5_prompt_token_2_to_mean_mask_logit.npy,outputs/dog_token_to_mask_pathway/token_to_mask_pathway/layer_5_prompt_token_2_to_mean_mask_logit.png
2,2,mean_mask_logit,1.4854344421166843e-08,3.892612312483834e-07,4304,59,56,0.33099222575059567,-0.1934387185021311,outputs/dog_token_to_mask_pathway/token_to_mask_pathway/layer_2_prompt_token_2_to_mean_mask_logit.npy,outputs/dog_token_to_mask_pathway/token_to_mask_pathway/layer_2_prompt_token_2_to_mean_mask_logit.png
2,1,mean_mask_logit,1.0121895321901775e-08,3.734897120466485e-07,4304,59,56,0.2916881551622723,-0.35110959613551884,outputs/dog_token_to_mask_pathway/token_to_mask_pathway/layer_2_prompt_token_1_to_mean_mask_logit.npy,outputs/dog_token_to_mask_pathway/token_to_mask_pathway/layer_2_prompt_token_1_to_mean_mask_logit.png
5,1,mean_mask_logit,7.629828324695609e-09,3.579735050607269e-07,4304,59,56,0.28491853014144586,-0.3099084208504235,outputs/dog_token_to_mask_pathway/token_to_mask_pathway/layer_5_prompt_token_1_to_mean_mask_logit.npy,outputs/dog_token_to_mask_pathway/token_to_mask_pathway/layer_5_prompt_token_1_to_mean_mask_logit.png
4,4,mean_mask_logit,1.0904698477531838e-08,2.9772195375699084e-07,4304,59,56,0.3237151321853301,-0.34965709644422005,outputs/dog_token_to_mask_pathway/token_to_mask_pathway/layer_4_prompt_token_4_to_mean_mask_logit.npy,outputs/dog_token_to_mask_pathway/token_to_mask_pathway/layer_4_prompt_token_4_to_mean_mask_logit.png
4,1,mean_mask_logit,9.311418303070695e-09,2.419862425995234e-07,4304,59,56,0.3199309872542836,-0.2742218523618901,outputs/dog_token_to_mask_pathway/token_to_mask_pathway/layer_4_prompt_token_1_to_mean_mask_logit.npy,outputs/dog_token_to_mask_pathway/token_to_mask_pathway/layer_4_prompt_token_1_to_mean_mask_logit.png
3,1,mean_mask_logit,7.795641465691006e-09,1.7847335698206734e-07,4304,59,56,0.26252181035887023,-0.44752731126578993,outputs/dog_token_to_mask_pathway/token_to_mask_pathway/layer_3_prompt_token_1_to_mean_mask_logit.npy,outputs/dog_token_to_mask_pathway/token_to_mask_pathway/layer_3_prompt_token_1_to_mean_mask_logit.png
