layer,prompt_token_index,target_desc,pathway_mean,pathway_max,top_token_index,top_row,top_col,cosine_attn_regiongrad,pearson_attn_regiongrad,npy_path,png_path
3,7,mean_mask_logit,1.3082147631848784e-07,4.5985361794009805e-06,4420,61,28,0.41278886140320953,-0.012533808472891591,outputs/schoolbus_token_to_mask_pathway/token_to_mask_pathway/layer_3_prompt_token_7_to_mean_mask_logit.npy,outputs/schoolbus_token_to_mask_pathway/token_to_mask_pathway/layer_3_prompt_token_7_to_mean_mask_logit.png
3,11,mean_mask_logit,1.5322687829666393e-07,4.4261432776693255e-06,2191,30,31,0.3807877872993688,-0.454685254578357,outputs/schoolbus_token_to_mask_pathway/token_to_mask_pathway/layer_3_prompt_token_11_to_mean_mask_logit.npy,outputs/schoolbus_token_to_mask_pathway/token_to_mask_pathway/layer_3_prompt_token_11_to_mean_mask_logit.png
3,10,mean_mask_logit,1.5104976114344026e-07,4.409006123751169e-06,2191,30,31,0.3802578128476503,-0.441218458047806,outputs/schoolbus_token_to_mask_pathway/token_to_mask_pathway/layer_3_prompt_token_10_to_mean_mask_logit.npy,outputs/schoolbus_token_to_mask_pathway/token_to_mask_pathway/layer_3_prompt_token_10_to_mean_mask_logit.png
3,9,mean_mask_logit,1.4762605360374437e-07,4.326083853811724e-06,4420,61,28,0.39315269493376526,-0.3375431041784199,outputs/schoolbus_token_to_mask_pathway/token_to_mask_pathway/layer_3_prompt_token_9_to_mean_mask_logit.npy,outputs/schoolbus_token_to_mask_pathway/token_to_mask_pathway/layer_3_prompt_token_9_to_mean_mask_logit.png
3,15,mean_mask_logit,1.424410100980822e-07,4.009268650406739e-06,4420,61,28,0.3733950056659186,-0.5282749740318591,outputs/schoolbus_token_to_mask_pathway/token_to_mask_pathway/layer_3_prompt_token_15_to_mean_mask_logit.npy,outputs/schoolbus_token_to_mask_pathway/token_to_mask_pathway/layer_3_prompt_token_15_to_mean_mask_logit.png
3,14,mean_mask_logit,1.397325348762024e-07,3.888641913363244e-06,2191,30,31,0.37624718443957844,-0.4975391148933534,outputs/schoolbus_token_to_mask_pathway/token_to_mask_pathway/layer_3_prompt_token_14_to_mean_mask_logit.npy,outputs/schoolbus_token_to_mask_pathway/token_to_mask_pathway/layer_3_prompt_token_14_to_mean_mask_logit.png
4,5,mean_mask_logit,9.432702086087374e-08,3.864382506435504e-06,4420,61,28,0.42358872119696167,0.041987715774314587,outputs/schoolbus_token_to_mask_pathway/token_to_mask_pathway/layer_4_prompt_token_5_to_mean_mask_logit.npy,outputs/schoolbus_token_to_mask_pathway/token_to_mask_pathway/layer_4_prompt_token_5_to_mean_mask_logit.png
2,4,mean_mask_logit,5.3275510225603284e-08,3.84599479730241e-06,2272,31,40,0.3116408687463539,-0.10003923328542355,outputs/schoolbus_token_to_mask_pathway/token_to_mask_pathway/layer_2_prompt_token_4_to_mean_mask_logit.npy,outputs/schoolbus_token_to_mask_pathway/token_to_mask_pathway/layer_2_prompt_token_4_to_mean_mask_logit.png
3,13,mean_mask_logit,1.2760698098190915e-07,3.6839373933617026e-06,4420,61,28,0.3647961719383672,-0.4866800802040194,outputs/schoolbus_token_to_mask_pathway/token_to_mask_pathway/layer_3_prompt_token_13_to_mean_mask_logit.npy,outputs/schoolbus_token_to_mask_pathway/token_to_mask_pathway/layer_3_prompt_token_13_to_mean_mask_logit.png
3,12,mean_mask_logit,1.2942379612468358e-07,3.559039896572358e-06,4420,61,28,0.37245014923738085,-0.4772860658863231,outputs/schoolbus_token_to_mask_pathway/token_to_mask_pathway/layer_3_prompt_token_12_to_mean_mask_logit.npy,outputs/schoolbus_token_to_mask_pathway/token_to_mask_pathway/layer_3_prompt_token_12_to_mean_mask_logit.png
