layer,query_index,rank,token_index,row,col,attention_mass,map_path
2,144,13,2427,33,51,0.006940347608178854,outputs/schoolbus_detr_decoder_cross_attention/detr_decoder_cross_attention/decoder_layer_2_query144_attn.png
2,144,14,2786,38,50,0.006008579861372709,outputs/schoolbus_detr_decoder_cross_attention/detr_decoder_cross_attention/decoder_layer_2_query144_attn.png
2,144,15,2644,36,52,0.005693675018846989,outputs/schoolbus_detr_decoder_cross_attention/detr_decoder_cross_attention/decoder_layer_2_query144_attn.png
2,144,16,2642,36,50,0.005598182789981365,outputs/schoolbus_detr_decoder_cross_attention/detr_decoder_cross_attention/decoder_layer_2_query144_attn.png
2,144,17,2643,36,51,0.005537442397326231,outputs/schoolbus_detr_decoder_cross_attention/detr_decoder_cross_attention/decoder_layer_2_query144_attn.png
2,144,18,2931,40,51,0.004892350174486637,outputs/schoolbus_detr_decoder_cross_attention/detr_decoder_cross_attention/decoder_layer_2_query144_attn.png
2,144,19,2429,33,53,0.0046958914026618,outputs/schoolbus_detr_decoder_cross_attention/detr_decoder_cross_attention/decoder_layer_2_query144_attn.png
2,144,20,2426,33,50,0.004409026354551315,outputs/schoolbus_detr_decoder_cross_attention/detr_decoder_cross_attention/decoder_layer_2_query144_attn.png
3,144,1,2572,35,52,0.0918101817369461,outputs/schoolbus_detr_decoder_cross_attention/detr_decoder_cross_attention/decoder_layer_3_query144_attn.png
3,144,2,2283,31,51,0.06617709249258041,outputs/schoolbus_detr_decoder_cross_attention/detr_decoder_cross_attention/decoder_layer_3_query144_attn.png
3,144,3,2788,38,52,0.0476081557571888,outputs/schoolbus_detr_decoder_cross_attention/detr_decoder_cross_attention/decoder_layer_3_query144_attn.png
3,144,4,2356,32,52,0.03829924389719963,outputs/schoolbus_detr_decoder_cross_attention/detr_decoder_cross_attention/decoder_layer_3_query144_attn.png
3,144,5,2571,35,51,0.018176743760704994,outputs/schoolbus_detr_decoder_cross_attention/detr_decoder_cross_attention/decoder_layer_3_query144_attn.png
3,144,6,2716,37,52,0.017552459612488747,outputs/schoolbus_detr_decoder_cross_attention/detr_decoder_cross_attention/decoder_layer_3_query144_attn.png
3,144,7,2715,37,51,0.015694966539740562,outputs/schoolbus_detr_decoder_cross_attention/detr_decoder_cross_attention/decoder_layer_3_query144_attn.png
3,144,8,2429,33,53,0.01461290754377842,outputs/schoolbus_detr_decoder_cross_attention/detr_decoder_cross_attention/decoder_layer_3_query144_attn.png
3,144,9,2644,36,52,0.013627997599542141,outputs/schoolbus_detr_decoder_cross_attention/detr_decoder_cross_attention/decoder_layer_3_query144_attn.png
3,144,10,2643,36,51,0.009948843158781528,outputs/schoolbus_detr_decoder_cross_attention/detr_decoder_cross_attention/decoder_layer_3_query144_attn.png
3,144,11,2427,33,51,0.009681856259703636,outputs/schoolbus_detr_decoder_cross_attention/detr_decoder_cross_attention/decoder_layer_3_query144_attn.png
3,144,12,2499,34,51,0.00890137068927288,outputs/schoolbus_detr_decoder_cross_attention/detr_decoder_cross_attention/decoder_layer_3_query144_attn.png
3,144,13,2500,34,52,0.008899991400539875,outputs/schoolbus_detr_decoder_cross_attention/detr_decoder_cross_attention/decoder_layer_3_query144_attn.png
3,144,14,2573,35,53,0.008038626052439213,outputs/schoolbus_detr_decoder_cross_attention/detr_decoder_cross_attention/decoder_layer_3_query144_attn.png
3,144,15,2211,30,51,0.008004565723240376,outputs/schoolbus_detr_decoder_cross_attention/detr_decoder_cross_attention/decoder_layer_3_query144_attn.png
3,144,16,2282,31,50,0.007803547196090221,outputs/schoolbus_detr_decoder_cross_attention/detr_decoder_cross_attention/decoder_layer_3_query144_attn.png
3,144,17,2861,39,53,0.007525183726102114,outputs/schoolbus_detr_decoder_cross_attention/detr_decoder_cross_attention/decoder_layer_3_query144_attn.png
3,144,18,2355,32,51,0.007228105794638395,outputs/schoolbus_detr_decoder_cross_attention/detr_decoder_cross_attention/decoder_layer_3_query144_attn.png
3,144,19,2645,36,53,0.0068080006167292595,outputs/schoolbus_detr_decoder_cross_attention/detr_decoder_cross_attention/decoder_layer_3_query144_attn.png
3,144,20,2498,34,50,0.006535843014717102,outputs/schoolbus_detr_decoder_cross_attention/detr_decoder_cross_attention/decoder_layer_3_query144_attn.png
