layer,k,condition,trial,original_score,ablated_score,score_drop,iou_with_original,iou_drop,ablation_mode,delta_grad_path,token_indices_preview
3,100,random,1,0.15386584401130676,0.15377481281757355,9.103119373321533e-05,0.9999330639839172,6.693601608276367e-05,zero,outputs/cat_deltaf_grad/mm_grad/layer_3_delta_grad.npy,"[2613, 1393, 1397, 3849, 2918, 2629, 1770, 4910, 3745, 1385, 4420, 1746, 4011, 4703, 672, 1281, 4514, 2262, 4265, 2214]"
3,100,random,2,0.15386584401130676,0.1537904143333435,7.542967796325684e-05,0.9999423027038574,5.7697296142578125e-05,zero,outputs/cat_deltaf_grad/mm_grad/layer_3_delta_grad.npy,"[2582, 399, 3294, 1214, 1002, 4972, 1897, 792, 671, 3450, 288, 4151, 2735, 2748, 2579, 3617, 401, 2789, 467, 735]"
3,200,top_delta_grad,0,0.15386584401130676,0.15211981534957886,0.0017460286617279053,0.9991075396537781,0.0008924603462219238,zero,outputs/cat_deltaf_grad/mm_grad/layer_3_delta_grad.npy,"[3923, 3636, 964, 1036, 3925, 3780, 3782, 3997, 2924, 3995, 3066, 3924, 3709, 1043, 3575, 2423, 2057, 3862, 3708, 2135]"
3,200,random,0,0.15386584401130676,0.15352106094360352,0.00034478306770324707,0.9998800158500671,0.00011998414993286133,zero,outputs/cat_deltaf_grad/mm_grad/layer_3_delta_grad.npy,"[102, 3979, 4335, 872, 3715, 4398, 1303, 2162, 3129, 1203, 2046, 1857, 2208, 4775, 5061, 3687, 1690, 2320, 4382, 4501]"
3,200,random,1,0.15386584401130676,0.15352307260036469,0.00034277141094207764,0.999870777130127,0.00012922286987304688,zero,outputs/cat_deltaf_grad/mm_grad/layer_3_delta_grad.npy,"[4599, 2351, 22, 3401, 1625, 5001, 182, 1720, 26, 2775, 2656, 4844, 3123, 2391, 2980, 1376, 723, 4377, 2005, 1258]"
3,200,random,2,0.15386584401130676,0.15352770686149597,0.000338137149810791,0.9998753666877747,0.0001246333122253418,zero,outputs/cat_deltaf_grad/mm_grad/layer_3_delta_grad.npy,"[1153, 3089, 771, 4593, 2077, 4989, 515, 4740, 229, 2424, 1224, 1783, 3061, 4962, 2584, 3619, 4468, 2347, 2982, 5017]"
3,500,top_delta_grad,0,0.15386584401130676,0.1424311101436615,0.011434733867645264,0.9983416199684143,0.0016583800315856934,zero,outputs/cat_deltaf_grad/mm_grad/layer_3_delta_grad.npy,"[3923, 3636, 964, 1036, 3925, 3780, 3782, 3997, 2924, 3995, 3066, 3924, 3709, 1043, 3575, 2423, 2057, 3862, 3708, 2135]"
3,500,random,0,0.15386584401130676,0.15282481908798218,0.001041024923324585,0.999628484249115,0.00037151575088500977,zero,outputs/cat_deltaf_grad/mm_grad/layer_3_delta_grad.npy,"[288, 610, 4012, 768, 1174, 5118, 2555, 3229, 4866, 4461, 771, 2939, 1556, 2739, 1583, 557, 2919, 2517, 4311, 1716]"
3,500,random,1,0.15386584401130676,0.152738556265831,0.001127287745475769,0.9996238946914673,0.00037610530853271484,zero,outputs/cat_deltaf_grad/mm_grad/layer_3_delta_grad.npy,"[2111, 131, 2299, 1460, 477, 2329, 3624, 1049, 4675, 609, 3600, 1716, 2901, 1138, 3641, 3005, 3015, 2658, 235, 1205]"
3,500,random,2,0.15386584401130676,0.15277057886123657,0.0010952651500701904,0.9996308088302612,0.00036919116973876953,zero,outputs/cat_deltaf_grad/mm_grad/layer_3_delta_grad.npy,"[1590, 2535, 3711, 2252, 617, 3227, 2806, 1290, 1523, 4177, 2028, 4446, 800, 2532, 2756, 4754, 3239, 895, 4337, 1715]"
4,50,top_delta_grad,0,0.15386584401130676,0.15383270382881165,3.314018249511719e-05,0.9998477101325989,0.00015228986740112305,zero,outputs/cat_deltaf_grad/mm_grad/layer_4_delta_grad.npy,"[964, 3780, 3925, 1036, 3997, 2924, 3782, 3924, 3869, 3923, 3781, 2135, 3709, 3708, 3724, 3853, 3575, 963, 3852, 1037]"
4,50,random,0,0.15386584401130676,0.1538214236497879,4.442036151885986e-05,0.9999653697013855,3.463029861450195e-05,zero,outputs/cat_deltaf_grad/mm_grad/layer_4_delta_grad.npy,"[2546, 4797, 989, 3023, 3314, 644, 1198, 2695, 1522, 1066, 796, 1328, 521, 923, 1369, 635, 2984, 1234, 3198, 2438]"
4,50,random,1,0.15386584401130676,0.1538170725107193,4.877150058746338e-05,0.9999653697013855,3.463029861450195e-05,zero,outputs/cat_deltaf_grad/mm_grad/layer_4_delta_grad.npy,"[1261, 4152, 3358, 4977, 3281, 280, 2173, 874, 2863, 4149, 4217, 965, 2804, 261, 2693, 3332, 1567, 3759, 5036, 4813]"
4,50,random,2,0.15386584401130676,0.15381480753421783,5.103647708892822e-05,0.9999584555625916,4.1544437408447266e-05,zero,outputs/cat_deltaf_grad/mm_grad/layer_4_delta_grad.npy,"[3227, 2934, 2270, 3481, 4779, 192, 1515, 3235, 4260, 2147, 3865, 4590, 2036, 3845, 3916, 2937, 115, 4179, 3645, 5123]"
4,100,top_delta_grad,0,0.15386584401130676,0.1535036265850067,0.00036221742630004883,0.9997299909591675,0.00027000904083251953,zero,outputs/cat_deltaf_grad/mm_grad/layer_4_delta_grad.npy,"[964, 3780, 3925, 1036, 3997, 2924, 3782, 3924, 3869, 3923, 3781, 2135, 3709, 3708, 3724, 3853, 3575, 963, 3852, 1037]"
4,100,random,0,0.15386584401130676,0.1537771224975586,8.872151374816895e-05,0.9999377131462097,6.22868537902832e-05,zero,outputs/cat_deltaf_grad/mm_grad/layer_4_delta_grad.npy,"[3727, 4335, 2590, 3812, 839, 2184, 3625, 2153, 4943, 1138, 1227, 376, 96, 458, 1571, 855, 4870, 3762, 2873, 184]"
