layer,query_index,rank,token_index,row,col,attention_mass,map_path
3,144,3,2791,38,55,0.018158160150051117,outputs/cat_detr_decoder_cross_attention/detr_decoder_cross_attention/decoder_layer_3_query144_attn.png
3,144,4,2359,32,55,0.017329463735222816,outputs/cat_detr_decoder_cross_attention/detr_decoder_cross_attention/decoder_layer_3_query144_attn.png
3,144,5,2647,36,55,0.01552020013332367,outputs/cat_detr_decoder_cross_attention/detr_decoder_cross_attention/decoder_layer_3_query144_attn.png
3,144,6,2574,35,54,0.012908262200653553,outputs/cat_detr_decoder_cross_attention/detr_decoder_cross_attention/decoder_layer_3_query144_attn.png
3,144,7,2431,33,55,0.006972121074795723,outputs/cat_detr_decoder_cross_attention/detr_decoder_cross_attention/decoder_layer_3_query144_attn.png
3,144,8,2360,32,56,0.005751967895776033,outputs/cat_detr_decoder_cross_attention/detr_decoder_cross_attention/decoder_layer_3_query144_attn.png
3,144,9,2577,35,57,0.005727683659642935,outputs/cat_detr_decoder_cross_attention/detr_decoder_cross_attention/decoder_layer_3_query144_attn.png
3,144,10,2361,32,57,0.005704316310584545,outputs/cat_detr_decoder_cross_attention/detr_decoder_cross_attention/decoder_layer_3_query144_attn.png
3,144,11,2215,30,55,0.005279296077787876,outputs/cat_detr_decoder_cross_attention/detr_decoder_cross_attention/decoder_layer_3_query144_attn.png
3,144,12,995,13,59,0.005250736139714718,outputs/cat_detr_decoder_cross_attention/detr_decoder_cross_attention/decoder_layer_3_query144_attn.png
3,144,13,2792,38,56,0.004981613252311945,outputs/cat_detr_decoder_cross_attention/detr_decoder_cross_attention/decoder_layer_3_query144_attn.png
3,144,14,2432,33,56,0.004851154517382383,outputs/cat_detr_decoder_cross_attention/detr_decoder_cross_attention/decoder_layer_3_query144_attn.png
3,144,15,2648,36,56,0.00474327290430665,outputs/cat_detr_decoder_cross_attention/detr_decoder_cross_attention/decoder_layer_3_query144_attn.png
3,144,16,2287,31,55,0.0045384373515844345,outputs/cat_detr_decoder_cross_attention/detr_decoder_cross_attention/decoder_layer_3_query144_attn.png
3,144,17,2719,37,55,0.0041889320127666,outputs/cat_detr_decoder_cross_attention/detr_decoder_cross_attention/decoder_layer_3_query144_attn.png
