layer,prompt_token_index,attention_mean,attention_max,attn_x_grad_mean,attn_x_grad_max,attention_npy,attention_png,attn_x_grad_npy,attn_x_grad_png
1,10,0.02634059637784958,0.0364249050617218,2.6758834792417474e-07,1.2328788216109388e-05,outputs/schoolbus_prompt_token_fusion_trace/prompt_token_fusion_trace/layer_1_prompt_token_10_attn.npy,outputs/schoolbus_prompt_token_fusion_trace/prompt_token_fusion_trace/layer_1_prompt_token_10_attn.png,outputs/schoolbus_prompt_token_fusion_trace/prompt_token_fusion_trace/layer_1_prompt_token_10_attn_x_grad.npy,outputs/schoolbus_prompt_token_fusion_trace/prompt_token_fusion_trace/layer_1_prompt_token_10_attn_x_grad.png
1,11,0.028035970404744148,0.03809020668268204,2.837580268533202e-07,1.285896451008739e-05,outputs/schoolbus_prompt_token_fusion_trace/prompt_token_fusion_trace/layer_1_prompt_token_11_attn.npy,outputs/schoolbus_prompt_token_fusion_trace/prompt_token_fusion_trace/layer_1_prompt_token_11_attn.png,outputs/schoolbus_prompt_token_fusion_trace/prompt_token_fusion_trace/layer_1_prompt_token_11_attn_x_grad.npy,outputs/schoolbus_prompt_token_fusion_trace/prompt_token_fusion_trace/layer_1_prompt_token_11_attn_x_grad.png
1,12,0.024876082316040993,0.037339139729738235,2.6284004661647487e-07,1.3006632798351347e-05,outputs/schoolbus_prompt_token_fusion_trace/prompt_token_fusion_trace/layer_1_prompt_token_12_attn.npy,outputs/schoolbus_prompt_token_fusion_trace/prompt_token_fusion_trace/layer_1_prompt_token_12_attn.png,outputs/schoolbus_prompt_token_fusion_trace/prompt_token_fusion_trace/layer_1_prompt_token_12_attn_x_grad.npy,outputs/schoolbus_prompt_token_fusion_trace/prompt_token_fusion_trace/layer_1_prompt_token_12_attn_x_grad.png
1,13,0.02410520799458027,0.035927653312683105,2.562283327733894e-07,1.1665445526887197e-05,outputs/schoolbus_prompt_token_fusion_trace/prompt_token_fusion_trace/layer_1_prompt_token_13_attn.npy,outputs/schoolbus_prompt_token_fusion_trace/prompt_token_fusion_trace/layer_1_prompt_token_13_attn.png,outputs/schoolbus_prompt_token_fusion_trace/prompt_token_fusion_trace/layer_1_prompt_token_13_attn_x_grad.npy,outputs/schoolbus_prompt_token_fusion_trace/prompt_token_fusion_trace/layer_1_prompt_token_13_attn_x_grad.png
1,14,0.024340614676475525,0.034693822264671326,2.644663368300826e-07,1.3068430234852713e-05,outputs/schoolbus_prompt_token_fusion_trace/prompt_token_fusion_trace/layer_1_prompt_token_14_attn.npy,outputs/schoolbus_prompt_token_fusion_trace/prompt_token_fusion_trace/layer_1_prompt_token_14_attn.png,outputs/schoolbus_prompt_token_fusion_trace/prompt_token_fusion_trace/layer_1_prompt_token_14_attn_x_grad.npy,outputs/schoolbus_prompt_token_fusion_trace/prompt_token_fusion_trace/layer_1_prompt_token_14_attn_x_grad.png
1,15,0.02625596709549427,0.037129804491996765,2.776229450773826e-07,1.360904389002826e-05,outputs/schoolbus_prompt_token_fusion_trace/prompt_token_fusion_trace/layer_1_prompt_token_15_attn.npy,outputs/schoolbus_prompt_token_fusion_trace/prompt_token_fusion_trace/layer_1_prompt_token_15_attn.png,outputs/schoolbus_prompt_token_fusion_trace/prompt_token_fusion_trace/layer_1_prompt_token_15_attn_x_grad.npy,outputs/schoolbus_prompt_token_fusion_trace/prompt_token_fusion_trace/layer_1_prompt_token_15_attn_x_grad.png
2,0,0.2162693589925766,0.3372688293457031,1.7025614624799346e-06,6.903648318257183e-05,outputs/schoolbus_prompt_token_fusion_trace/prompt_token_fusion_trace/layer_2_prompt_token_0_attn.npy,outputs/schoolbus_prompt_token_fusion_trace/prompt_token_fusion_trace/layer_2_prompt_token_0_attn.png,outputs/schoolbus_prompt_token_fusion_trace/prompt_token_fusion_trace/layer_2_prompt_token_0_attn_x_grad.npy,outputs/schoolbus_prompt_token_fusion_trace/prompt_token_fusion_trace/layer_2_prompt_token_0_attn_x_grad.png
2,1,0.005268436390906572,0.06646734476089478,4.18640055954711e-08,3.494301154205459e-06,outputs/schoolbus_prompt_token_fusion_trace/prompt_token_fusion_trace/layer_2_prompt_token_1_attn.npy,outputs/schoolbus_prompt_token_fusion_trace/prompt_token_fusion_trace/layer_2_prompt_token_1_attn.png,outputs/schoolbus_prompt_token_fusion_trace/prompt_token_fusion_trace/layer_2_prompt_token_1_attn_x_grad.npy,outputs/schoolbus_prompt_token_fusion_trace/prompt_token_fusion_trace/layer_2_prompt_token_1_attn_x_grad.png
2,2,0.01347168255597353,0.03237316757440567,8.43065635081075e-08,5.329294708644738e-06,outputs/schoolbus_prompt_token_fusion_trace/prompt_token_fusion_trace/layer_2_prompt_token_2_attn.npy,outputs/schoolbus_prompt_token_fusion_trace/prompt_token_fusion_trace/layer_2_prompt_token_2_attn.png,outputs/schoolbus_prompt_token_fusion_trace/prompt_token_fusion_trace/layer_2_prompt_token_2_attn_x_grad.npy,outputs/schoolbus_prompt_token_fusion_trace/prompt_token_fusion_trace/layer_2_prompt_token_2_attn_x_grad.png
2,3,0.012715370394289494,0.03726785257458687,1.011059680422477e-07,6.795872195652919e-06,outputs/schoolbus_prompt_token_fusion_trace/prompt_token_fusion_trace/layer_2_prompt_token_3_attn.npy,outputs/schoolbus_prompt_token_fusion_trace/prompt_token_fusion_trace/layer_2_prompt_token_3_attn.png,outputs/schoolbus_prompt_token_fusion_trace/prompt_token_fusion_trace/layer_2_prompt_token_3_attn_x_grad.npy,outputs/schoolbus_prompt_token_fusion_trace/prompt_token_fusion_trace/layer_2_prompt_token_3_attn_x_grad.png
2,4,0.006811412982642651,0.026206260547041893,5.327600050009096e-08,3.849290806101635e-06,outputs/schoolbus_prompt_token_fusion_trace/prompt_token_fusion_trace/layer_2_prompt_token_4_attn.npy,outputs/schoolbus_prompt_token_fusion_trace/prompt_token_fusion_trace/layer_2_prompt_token_4_attn.png,outputs/schoolbus_prompt_token_fusion_trace/prompt_token_fusion_trace/layer_2_prompt_token_4_attn_x_grad.npy,outputs/schoolbus_prompt_token_fusion_trace/prompt_token_fusion_trace/layer_2_prompt_token_4_attn_x_grad.png
2,5,0.02794671058654785,0.047439709305763245,2.409935859759571e-07,1.0228353858110495e-05,outputs/schoolbus_prompt_token_fusion_trace/prompt_token_fusion_trace/layer_2_prompt_token_5_attn.npy,outputs/schoolbus_prompt_token_fusion_trace/prompt_token_fusion_trace/layer_2_prompt_token_5_attn.png,outputs/schoolbus_prompt_token_fusion_trace/prompt_token_fusion_trace/layer_2_prompt_token_5_attn_x_grad.npy,outputs/schoolbus_prompt_token_fusion_trace/prompt_token_fusion_trace/layer_2_prompt_token_5_attn_x_grad.png
2,6,0.02081391029059887,0.03312421590089798,1.821901918219737e-07,8.891275683708955e-06,outputs/schoolbus_prompt_token_fusion_trace/prompt_token_fusion_trace/layer_2_prompt_token_6_attn.npy,outputs/schoolbus_prompt_token_fusion_trace/prompt_token_fusion_trace/layer_2_prompt_token_6_attn.png,outputs/schoolbus_prompt_token_fusion_trace/prompt_token_fusion_trace/layer_2_prompt_token_6_attn_x_grad.npy,outputs/schoolbus_prompt_token_fusion_trace/prompt_token_fusion_trace/layer_2_prompt_token_6_attn_x_grad.png
2,7,0.022012978792190552,0.03313383832573891,1.9110717630610452e-07,9.673376553109847e-06,outputs/schoolbus_prompt_token_fusion_trace/prompt_token_fusion_trace/layer_2_prompt_token_7_attn.npy,outputs/schoolbus_prompt_token_fusion_trace/prompt_token_fusion_trace/layer_2_prompt_token_7_attn.png,outputs/schoolbus_prompt_token_fusion_trace/prompt_token_fusion_trace/layer_2_prompt_token_7_attn_x_grad.npy,outputs/schoolbus_prompt_token_fusion_trace/prompt_token_fusion_trace/layer_2_prompt_token_7_attn_x_grad.png
2,8,0.02596687339246273,0.03539395332336426,2.2076122263570142e-07,9.829263944993727e-06,outputs/schoolbus_prompt_token_fusion_trace/prompt_token_fusion_trace/layer_2_prompt_token_8_attn.npy,outputs/schoolbus_prompt_token_fusion_trace/prompt_token_fusion_trace/layer_2_prompt_token_8_attn.png,outputs/schoolbus_prompt_token_fusion_trace/prompt_token_fusion_trace/layer_2_prompt_token_8_attn_x_grad.npy,outputs/schoolbus_prompt_token_fusion_trace/prompt_token_fusion_trace/layer_2_prompt_token_8_attn_x_grad.png
2,9,0.025449596345424652,0.037301793694496155,2.242631609306045e-07,1.0889971235883422e-05,outputs/schoolbus_prompt_token_fusion_trace/prompt_token_fusion_trace/layer_2_prompt_token_9_attn.npy,outputs/schoolbus_prompt_token_fusion_trace/prompt_token_fusion_trace/layer_2_prompt_token_9_attn.png,outputs/schoolbus_prompt_token_fusion_trace/prompt_token_fusion_trace/layer_2_prompt_token_9_attn_x_grad.npy,outputs/schoolbus_prompt_token_fusion_trace/prompt_token_fusion_trace/layer_2_prompt_token_9_attn_x_grad.png
2,10,0.024206364527344704,0.03172293305397034,2.1104239067426533e-07,9.905410479404964e-06,outputs/schoolbus_prompt_token_fusion_trace/prompt_token_fusion_trace/layer_2_prompt_token_10_attn.npy,outputs/schoolbus_prompt_token_fusion_trace/prompt_token_fusion_trace/layer_2_prompt_token_10_attn.png,outputs/schoolbus_prompt_token_fusion_trace/prompt_token_fusion_trace/layer_2_prompt_token_10_attn_x_grad.npy,outputs/schoolbus_prompt_token_fusion_trace/prompt_token_fusion_trace/layer_2_prompt_token_10_attn_x_grad.png
2,11,0.02779569663107395,0.03338348865509033,2.3708052765414322e-07,1.0577190550975502e-05,outputs/schoolbus_prompt_token_fusion_trace/prompt_token_fusion_trace/layer_2_prompt_token_11_attn.npy,outputs/schoolbus_prompt_token_fusion_trace/prompt_token_fusion_trace/layer_2_prompt_token_11_attn.png,outputs/schoolbus_prompt_token_fusion_trace/prompt_token_fusion_trace/layer_2_prompt_token_11_attn_x_grad.npy,outputs/schoolbus_prompt_token_fusion_trace/prompt_token_fusion_trace/layer_2_prompt_token_11_attn_x_grad.png
2,12,0.02353968657553196,0.03196750581264496,2.073796139256956e-07,1.0103569366037846e-05,outputs/schoolbus_prompt_token_fusion_trace/prompt_token_fusion_trace/layer_2_prompt_token_12_attn.npy,outputs/schoolbus_prompt_token_fusion_trace/prompt_token_fusion_trace/layer_2_prompt_token_12_attn.png,outputs/schoolbus_prompt_token_fusion_trace/prompt_token_fusion_trace/layer_2_prompt_token_12_attn_x_grad.npy,outputs/schoolbus_prompt_token_fusion_trace/prompt_token_fusion_trace/layer_2_prompt_token_12_attn_x_grad.png
2,13,0.023191602900624275,0.03079305589199066,1.9617552027284546e-07,8.795032954367343e-06,outputs/schoolbus_prompt_token_fusion_trace/prompt_token_fusion_trace/layer_2_prompt_token_13_attn.npy,outputs/schoolbus_prompt_token_fusion_trace/prompt_token_fusion_trace/layer_2_prompt_token_13_attn.png,outputs/schoolbus_prompt_token_fusion_trace/prompt_token_fusion_trace/layer_2_prompt_token_13_attn_x_grad.npy,outputs/schoolbus_prompt_token_fusion_trace/prompt_token_fusion_trace/layer_2_prompt_token_13_attn_x_grad.png
2,14,0.02545178309082985,0.03426860272884369,2.3027597251257248e-07,1.0827797268575523e-05,outputs/schoolbus_prompt_token_fusion_trace/prompt_token_fusion_trace/layer_2_prompt_token_14_attn.npy,outputs/schoolbus_prompt_token_fusion_trace/prompt_token_fusion_trace/layer_2_prompt_token_14_attn.png,outputs/schoolbus_prompt_token_fusion_trace/prompt_token_fusion_trace/layer_2_prompt_token_14_attn_x_grad.npy,outputs/schoolbus_prompt_token_fusion_trace/prompt_token_fusion_trace/layer_2_prompt_token_14_attn_x_grad.png
2,15,0.026338454335927963,0.034807153046131134,2.3474990484828595e-07,1.099026485462673e-05,outputs/schoolbus_prompt_token_fusion_trace/prompt_token_fusion_trace/layer_2_prompt_token_15_attn.npy,outputs/schoolbus_prompt_token_fusion_trace/prompt_token_fusion_trace/layer_2_prompt_token_15_attn.png,outputs/schoolbus_prompt_token_fusion_trace/prompt_token_fusion_trace/layer_2_prompt_token_15_attn_x_grad.npy,outputs/schoolbus_prompt_token_fusion_trace/prompt_token_fusion_trace/layer_2_prompt_token_15_attn_x_grad.png
3,0,0.22157129645347595,0.4105139672756195,1.4680101685371483e-06,5.8630081184674054e-05,outputs/schoolbus_prompt_token_fusion_trace/prompt_token_fusion_trace/layer_3_prompt_token_0_attn.npy,outputs/schoolbus_prompt_token_fusion_trace/prompt_token_fusion_trace/layer_3_prompt_token_0_attn.png,outputs/schoolbus_prompt_token_fusion_trace/prompt_token_fusion_trace/layer_3_prompt_token_0_attn_x_grad.npy,outputs/schoolbus_prompt_token_fusion_trace/prompt_token_fusion_trace/layer_3_prompt_token_0_attn_x_grad.png
3,1,0.0061376625671982765,0.024185828864574432,2.0193304806070955e-08,6.707077773171477e-07,outputs/schoolbus_prompt_token_fusion_trace/prompt_token_fusion_trace/layer_3_prompt_token_1_attn.npy,outputs/schoolbus_prompt_token_fusion_trace/prompt_token_fusion_trace/layer_3_prompt_token_1_attn.png,outputs/schoolbus_prompt_token_fusion_trace/prompt_token_fusion_trace/layer_3_prompt_token_1_attn_x_grad.npy,outputs/schoolbus_prompt_token_fusion_trace/prompt_token_fusion_trace/layer_3_prompt_token_1_attn_x_grad.png
