event_id,module_path,code_class,diagram_name,layer_index,attn_kind,attn_type,stream,query_shape,key_shape,value_shape,output_shape,attn_weights_shape,weights_returned,output_seq_matches_query
68,transformer.encoder.layers.3.self_attn,MultiheadAttentionWrapper,Multimodal Decoder Self-Attention,3,self_attn,self,fused,1x5184x256,1x5184x256,1x5184x256,1x5184x256,1x8x5184x5184,True,True
69,transformer.encoder.layers.3.cross_attn_image,MultiheadAttentionWrapper,Multimodal Decoder Cross-Attention to Image,3,cross_attn_image,cross,fused,1x5184x256,1x33x256,1x33x256,1x5184x256,1x8x5184x33,True,True
70,transformer.encoder.layers.4.self_attn,MultiheadAttentionWrapper,Multimodal Decoder Self-Attention,4,self_attn,self,fused,1x5184x256,1x5184x256,1x5184x256,1x5184x256,1x8x5184x5184,True,True
71,transformer.encoder.layers.4.cross_attn_image,MultiheadAttentionWrapper,Multimodal Decoder Cross-Attention to Image,4,cross_attn_image,cross,fused,1x5184x256,1x33x256,1x33x256,1x5184x256,1x8x5184x33,True,True
72,transformer.encoder.layers.5.self_attn,MultiheadAttentionWrapper,Multimodal Decoder Self-Attention,5,self_attn,self,fused,1x5184x256,1x5184x256,1x5184x256,1x5184x256,1x8x5184x5184,True,True
73,transformer.encoder.layers.5.cross_attn_image,MultiheadAttentionWrapper,Multimodal Decoder Cross-Attention to Image,5,cross_attn_image,cross,fused,1x5184x256,1x33x256,1x33x256,1x5184x256,1x8x5184x33,True,True
74,transformer.decoder.layers.0.self_attn,MultiheadAttention,Detector Decoder Self-Attention,0,self_attn,self,detector_query,201x1x256,201x1x256,201x1x256,201x1x256,1x8x201x201,True,True
75,transformer.decoder.layers.0.ca_text,MultiheadAttention,Detector Decoder Cross-Attention to Text,0,cross_attn_text,cross,detector_query,201x1x256,33x1x256,33x1x256,201x1x256,1x8x201x33,True,True
76,transformer.decoder.layers.0.cross_attn,MultiheadAttentionWrapper,Detector Decoder Cross-Attention to Image,0,cross_attn_image,cross,detector_query,201x1x256,5184x1x256,5184x1x256,201x1x256,1x8x201x5184,True,True
77,transformer.decoder.layers.1.self_attn,MultiheadAttention,Detector Decoder Self-Attention,1,self_attn,self,detector_query,201x1x256,201x1x256,201x1x256,201x1x256,1x8x201x201,True,True
