event_id,t_ms,code_name,code_class,diagram_name,source_class,group,layer_index,kind,tensor_idx,tensor_name,shape,dtype,device,requires_grad,mean,std,min,max
43,368.128,transformer.encoder.layers.0,TransformerEncoderLayer,Multimodal Decoder Layer,fused,multimodal_decoder,0,output,0,tensor,1x5184x256,float32,cuda:0,False,-0.007784283719956875,0.7984211444854736,-6.556944847106934,5.676058292388916
44,368.504,transformer.encoder.layers.1.self_attn,MultiheadAttentionWrapper,Multimodal Decoder Self-Attention,fused,multimodal_decoder,1,input,0,[0],1x5184x256,float32,cuda:0,False,0.46148738265037537,1.1671699285507202,-6.039853096008301,6.71134614944458
44,368.504,transformer.encoder.layers.1.self_attn,MultiheadAttentionWrapper,Multimodal Decoder Self-Attention,fused,multimodal_decoder,1,input,1,[1],1x5184x256,float32,cuda:0,False,0.46148738265037537,1.1671699285507202,-6.039853096008301,6.71134614944458
45,368.893,transformer.encoder.layers.1.self_attn,MultiheadAttentionWrapper,Multimodal Decoder Self-Attention,fused,multimodal_decoder,1,output,0,[0],1x5184x256,float32,cuda:0,False,-0.007105561904609203,0.3008326292037964,-1.535061240196228,1.291634202003479
45,368.893,transformer.encoder.layers.1.self_attn,MultiheadAttentionWrapper,Multimodal Decoder Self-Attention,fused,multimodal_decoder,1,output,1,[1],1x8x5184x5184,float32,cuda:0,False,0.0001929012214532122,0.0010924029629677534,6.492667731575197e-13,0.540729284286499
46,381.360,transformer.encoder.layers.1.cross_attn_image,MultiheadAttentionWrapper,Multimodal Decoder Cross-Attention to Image,fused,multimodal_decoder,1,output,0,[0],1x5184x256,float32,cuda:0,False,-0.0020700031891465187,0.10771199315786362,-0.7347812652587891,0.7919848561286926
46,381.360,transformer.encoder.layers.1.cross_attn_image,MultiheadAttentionWrapper,Multimodal Decoder Cross-Attention to Image,fused,multimodal_decoder,1,output,1,[1],1x8x5184x33,float32,cuda:0,False,0.03030303120613098,0.11947976052761078,0.0,0.9841331243515015
47,381.740,transformer.encoder.layers.1,TransformerEncoderLayer,Multimodal Decoder Layer,fused,multimodal_decoder,1,output,0,tensor,1x5184x256,float32,cuda:0,False,-0.015470519661903381,0.8553357720375061,-8.530921936035156,5.129322052001953
48,382.122,transformer.encoder.layers.2.self_attn,MultiheadAttentionWrapper,Multimodal Decoder Self-Attention,fused,multimodal_decoder,2,input,0,[0],1x5184x256,float32,cuda:0,False,0.4582586884498596,1.0362845659255981,-5.066015720367432,5.629330635070801
48,382.122,transformer.encoder.layers.2.self_attn,MultiheadAttentionWrapper,Multimodal Decoder Self-Attention,fused,multimodal_decoder,2,input,1,[1],1x5184x256,float32,cuda:0,False,0.4582586884498596,1.0362845659255981,-5.066015720367432,5.629330635070801
49,382.510,transformer.encoder.layers.2.self_attn,MultiheadAttentionWrapper,Multimodal Decoder Self-Attention,fused,multimodal_decoder,2,output,0,[0],1x5184x256,float32,cuda:0,False,0.0031124353408813477,0.2584666311740875,-1.3424571752548218,1.511707067489624
49,382.510,transformer.encoder.layers.2.self_attn,MultiheadAttentionWrapper,Multimodal Decoder Self-Attention,fused,multimodal_decoder,2,output,1,[1],1x8x5184x5184,float32,cuda:0,False,0.0001929012214532122,0.0006587315001524985,6.817738105839577e-13,0.15057538449764252
50,394.919,transformer.encoder.layers.2.cross_attn_image,MultiheadAttentionWrapper,Multimodal Decoder Cross-Attention to Image,fused,multimodal_decoder,2,output,0,[0],1x5184x256,float32,cuda:0,False,0.0002884446003008634,0.06757677346467972,-0.6612646579742432,0.5266841650009155
50,394.919,transformer.encoder.layers.2.cross_attn_image,MultiheadAttentionWrapper,Multimodal Decoder Cross-Attention to Image,fused,multimodal_decoder,2,output,1,[1],1x8x5184x33,float32,cuda:0,False,0.03030303120613098,0.13713034987449646,0.0,0.9952432513237
51,395.279,transformer.encoder.layers.2,TransformerEncoderLayer,Multimodal Decoder Layer,fused,multimodal_decoder,2,output,0,tensor,1x5184x256,float32,cuda:0,False,-0.016431346535682678,0.9908032417297363,-10.207959175109863,5.392398357391357
52,395.666,transformer.encoder.layers.3.self_attn,MultiheadAttentionWrapper,Multimodal Decoder Self-Attention,fused,multimodal_decoder,3,input,0,[0],1x5184x256,float32,cuda:0,False,0.4540832042694092,1.246372103691101,-7.817478656768799,6.233414173126221
